N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
1,53.290024,103.204224,15.90520114,3.128938621,3.93,6.55,3.93,2.62,0.965721607,7.472786964,1.011408647,20.46154875,4.916490079,0.923487166,9.915091661,4.706479841,0.24027947,0.045132809,0.484571905,0.230015816,1.927870766,23,1,3,2.894019413,0,1493.293542,5.242171488,1493.293542,2.893085208,Control
2,27.175464,79.072294,18.30888281,3.005565897,3.93,10.48,2.62,6.55,0.826647997,7.471752555,2.638462968,7.288918351,0,0.184815964,0,7.104102387,0,0.025355746,0,0.974644254,0.917977778,17,3,6,0,0,0,0.181332976,0,0,Control
4,19.422704,35.110832,5.05082924,3.07234242,3.93,7.86,1.31,6.55,0.772389531,6.68027968,2.44436726,0,0,0,0,0,,,,,0,9,2,11,0,0,0,0,0,0,Control
5,17.912956,55.92471,13.89409802,3.369985965,3.93,40.61,11.79,28.82,1.796829581,14.13981271,2.623316075,8.625746737,0.070883636,0.759318838,0,7.795544262,0.008217681,0.088029345,0,0.903752974,0.358164234,9,2,6,0.075715212,0,0,0.098908896,0,0.098908896,Control
6,6.73266,24.39554,7.034355688,3.84662415,10.48,18.34,1.31,14.41,2.414860964,31.341518,9.483404755,0.536308009,0.114056344,0.016826816,0.313507362,0.091917486,0.212669477,0.031375285,0.584565879,0.17138936,3.220191491,26,1,6,5.3507595,4.065171583,0,0.030345401,0,0,Control
9,6.32462,27.288988,9.36980515,3.318750756,2.62,27.51,10.48,17.03,1.594343781,12.31354464,6.491038063,0.289691102,0.004014027,0.036254938,0,0.249422137,0.013856231,0.125150334,0,0.860993435,0.123307057,9,2,5,0,0,0,0,0,0,Control
10,1.876984,6.338154,1.703158788,4.21670842,20.96,31.44,9.17,22.27,4.154854298,58.72780031,17.26126811,0.18362479,0.031983333,0.01697479,0.134666667,0,0.174177644,0.092442801,0.733379555,0,0.379263102,9,6,9,11.12499894,11.07321182,0.165488437,0.06812651,0,0,Control
13,1.550552,7.796594,3.119705792,3.87274152,27.51,49.78,7.86,41.92,5.224225998,66.8280981,28.28086611,1.518996791,0.208733333,0.332705882,0.337890909,0.639666667,0.137415256,0.21903001,0.222443465,0.421111269,0,7,4,9,5.250961681,4.98903197,0,0.010545471,0,0,Control
14,2.774672,13.341292,5.104747483,4.407649675,14.41,53.71,5.24,48.47,1.958501339,29.37704892,99.9844307,0.496870429,0.111329545,0.0606,0.215524217,0.109416667,0.224061524,0.121963386,0.43376342,0.22021167,0.156047661,10,6,4,10.48792698,10.45142612,0.146799676,0.068204234,0,0,Control
15,4.039596,12.054956,2.862750252,2.527480849,5.24,7.86,1.31,6.55,0.667912066,6.743094491,4.076169502,0,0,0,0,0,,,,,0,10,2,4,0,0,0,0,0,0,Control
19,1.63216,10.200596,5.073159312,2.499490905,2.62,22.27,1.31,20.96,2.745205402,14.62182352,41.77012017,0,0,0,0,0,,,,,0,8,1,4,0.269333333,0,0,0,0,0,Control
24,6.651052,33.388378,13.33799149,2.234579576,3.93,10.48,3.93,5.24,0.522648931,5.590216919,0.992007334,2.077357517,1.896154514,0,0,0.181203004,0.912772355,0,0,0.087227645,0.231609204,9,1,4,4.037631076,3.232,0,0,0,0,Control
25,2.693064,12.642978,4.72326406,3.413577339,3.93,6.55,2.62,3.93,0.517434657,7.004233664,1.836861515,0,0,0,0,0,,,,,0,10,6,9,11.17408788,11.17408788,0,0,0,0,Control
30,1.42814,6.239578,2.169350813,4.090792226,6.55,31.44,19.65,11.79,2.198825836,31.30852677,6.420813183,0.2424,0,0.170257143,0.016833333,0.055309524,0,0.702380952,0.069444444,0.228174603,0.453262255,5,3,11,7.445016602,7.352910988,0.046763941,0.687986882,0,0,Control
31,1.060904,4.236546,1.346287774,2.921294814,18.34,27.51,9.17,18.34,2.767650127,34.52533177,18.0331244,0.315825397,0.110619048,0.032063492,0.158714286,0.014428571,0.350253807,0.101522843,0.502538071,0.045685279,0.118314286,6,2,9,10.2257581,10.15037438,0.050814062,0.031163513,0,0,Control
32,3.141908,11.182922,3.167431733,4.268455234,2.62,3.93,1.31,2.62,0.529265285,7.203896032,1.010878986,0,0,0,0,0,,,,,0,12,6,5,11.79929015,11.79929015,0,0,0,0,Control
33,1.060904,6.1711,2.856532813,3.910317927,2.62,17.03,10.48,6.55,1.719178081,18.61431803,2.847917163,0,0,0,0,0,,,,,0,5,3,11,5.612547372,5.612547372,0,0,0,0,Control
35,1.142512,8.080606,4.547966207,2.584203751,5.24,23.58,15.72,7.86,3.618884563,28.66286557,5.057493815,0.345505574,0.005179487,0,0.340326087,0,0.014991038,0,0.985008962,0,0.643326087,5,3,8,6.363948553,5.720560112,0.086338732,0,0,0,Control
36,2.489044,11.298264,4.081135356,3.254663013,3.93,5.24,2.62,2.62,0.913316846,10.09884001,1.731030413,0.179181481,0.1212,0,0,0.057981481,0.676409186,0,0,0.323590814,0.721052174,11,3,6,7.364538282,7.138921207,0.013712881,0.007938492,0,0,Control
38,1.591356,7.838408,3.072405407,3.968484116,3.93,9.17,2.62,6.55,2.039690971,22.83997072,3.665741753,0.0808,0,0,0,0.0808,0,0,0,1,0.244632036,9,6,4,12.0713782,11.51577179,0,0,0,0,Control
39,1.958592,7.606108,2.350558884,4.461242786,3.93,10.48,2.62,7.86,0.720605075,9.65682309,2.724733814,0,0,0,0,0,,,,,0,9,6,5,11.48383769,11.48383769,0,0,0,0,Control
